token,local_name,variable
de-DE,Deutsche,German
en-AU,English (AU),AustralianEnglish
en-CA,English (Canada),AustralianEnglish
en-EU,English (EU),EuropeanEnglish
en-GB,English (UK),BritishEnglish
en-US,English (US),AmericanEnglish
es-ES,Español,Spanish
es-MX,Español (MX),MexicanSpanish
fr-CA,Français (Canada),French
fr-FR,Français,French
hi-IN,हिन्दी,Hindi
it-IT,Italiano,Italian
ja-JP,日本語,Japanese
ko-KR,한국어,Korean
nl-NL,Nederlands,Dutch
pl-PL,język,Polish
pt-BR,Portuguesa (BR),BrazilianPortuguese
pt-PT,Portuguesa,Portuguese
ru-RU,ру́сский,Russian
sv-SE,Svenska,Swedish
th-TH,ภาษาไทย ,Thai
zh-CN,汉语,SimplifiedChinese
zh-HK,漢語 (HK),HongKongChinese
zh-TW,漢語 (TW),TaiwanChinese
